factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,42023,Waasmunster,Waasmunster,353.1302,true,matched_factor_source
population_density,bridge_safe_2025_geography,42025,Wetteren,Wetteren,727.3756,true,matched_factor_source
population_density,bridge_safe_2025_geography,42026,Wichelen,Wichelen,519.4637,true,matched_factor_source
population_density,bridge_safe_2025_geography,42028,Zele,Zele,646.7148,true,matched_factor_source
population_density,bridge_safe_2025_geography,43002,Assenede,Assenede,167.0545,true,matched_factor_source
population_density,bridge_safe_2025_geography,43005,Eeklo,Eeklo,746.5908,true,matched_factor_source
population_density,bridge_safe_2025_geography,43007,Kaprijke,Kaprijke,197.3299,true,matched_factor_source
population_density,bridge_safe_2025_geography,43010,Maldegem,Maldegem,260.2121,true,matched_factor_source
population_density,bridge_safe_2025_geography,43014,Sint-Laureins,Sint-Laureins,93.1235,true,matched_factor_source
population_density,bridge_safe_2025_geography,43018,Zelzate,Zelzate,991.6611,true,matched_factor_source
population_density,bridge_safe_2025_geography,44013,Destelbergen,Destelbergen,714.7724,true,matched_factor_source
population_density,bridge_safe_2025_geography,44019,Evergem,Evergem,494.2482,true,matched_factor_source
population_density,bridge_safe_2025_geography,44020,Gavere,Gavere,422.6027,true,matched_factor_source
population_density,bridge_safe_2025_geography,44021,Gent,Gand,1728.1828,true,matched_factor_source
population_density,bridge_safe_2025_geography,44052,Oosterzele,Oosterzele,323.3502,true,matched_factor_source
population_density,bridge_safe_2025_geography,44064,Sint-Martens-Latem,Sint-Martens-Latem,563.8728,true,matched_factor_source
population_density,bridge_safe_2025_geography,44081,Zulte,Zulte,495.494,true,matched_factor_source
population_density,bridge_safe_2025_geography,44083,Deinze,Deinze,359.5013,true,matched_factor_source
population_density,bridge_safe_2025_geography,44084,Aalter,Aalter,248.8932,true,matched_factor_source
population_density,bridge_safe_2025_geography,44085,Lievegem,Lievegem,338.5741,true,matched_factor_source
